title,provider,rating,url,level,price,description,skill_tags,duration_weeks,effort_hours,category,language,certificate,enrolled
Storytelling in Branding and Content Marketing,IE Business School,4.4,https://www.coursera.org/learn/brand-and-content-marketing,beginner level,4200,this course is part of branding the creative journey specialization,"['Customer Engagement', 'Target Audience', 'Marketing Communications', 'Content Strategy', 'Advertising', 'Storytelling', 'Branding', 'Brand Strategy', 'Content Creation', 'Journalism', 'Presentations', 'Content Marketing']",2.0,1.0,arts_and_humanities,english,1,41195.0
Roman Architecture,Yale University,4.9,https://www.coursera.org/learn/roman-architecture,beginner level,2000,roman architecture is a course for people who love to travel and want to discover the power of architecture to shape politics society and culture excellent course very thorough overview of roman architecture and lots of historyi strongly recomment this course to everyone interested in architecture and history the course material was great i truly learned a lot however i felt like the mastery quiz questions were much harder than anything we went over in class well structured organized materials well articulated lectures smartly designed assignments diana brought architecture study to a marvelous level what a delight,"['Architectural Design', 'Art History', 'Design Elements And Principles', 'Cultural Diversity', 'Civil Engineering', 'World History', 'Ancient History', 'Construction', 'Culture', 'Architecture and Construction']",4.0,7.0,arts_and_humanities,english,1,78209.0
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,4.8,https://www.coursera.org/learn/aristotle,beginner level,3500,what is philosophy how does it differ from science religion and other modes of human discourse this course traces the origins of philosophy in the western tradition in the thinkers of ancient greece we begin with the presocratic natural philosophers who were active in ionia in the 6th century bce and are also credited with being the first scientists thales anaximander and anaximines made bold proposals about the ultimate constituents of reality while heraclitus insisted that there is an underlying order to the changing world parmenides of elea formulated a powerful objection to all these proposals while later greek theorists such as anaxagoras and the atomist democritus attempted to answer that objection in fifth century athens socrates insisted on the importance of the fundamental ethical question how shall i live and his pupil plato and plato s pupil aristotle developed elaborate philosophical systems to explain the nature of reality knowledge and human happiness after the death of aristotle in the hellenistic period epicureans and stoics developed and transformed that earlier tradition we will study the major doctrines of all these thinkers part i will cover plato and his predecessors part ii will cover aristotle and his successors i think the content was very good the teacher absolutely phenomenal she made the studies so interesting the lenght of each video was also very good the course did not only serve as a refresher course on aristotle it actually capacitated me to know more and anew thank you for this program loved every minute of it a big thank you to professor susan sauve meyer it was beautiful experience i wish the course would be intimately wider,"['European History', 'Political Sciences', 'Anthropology', 'Psychology', 'Liberal Arts', 'Research', 'Ancient History', 'Ethical Standards And Conduct', 'World History']",2.0,6.0,arts_and_humanities,english,1,72220.0
How to Change the World,Wesleyan University,4.7,https://www.coursera.org/learn/world-change,beginner level,0,how can we use the things we share in common to address some of the most challenging problems facing the world this course examines issues concerning poverty the environment technology health care gender education and activism to help us understand better how to initiate positive change an inspiring course it brings me a view from social engagement point for building a better society loved it i learned so much really valuable information with incredible people i feel very lucky to have has access to all of this material sure we need to change ourselves first before changing the world however do not desire perfection in either of them they go with each other like a pair,"['Economics', 'Social Justice', 'Social Studies', 'Socioeconomics', 'Health Care', 'Community Development', 'Environmental Policy', 'Social Sciences', 'Environmental Issue', 'Public Health', 'Education and Training']",3.0,6.5,arts_and_humanities,english,1,51344.0
The Worldview of Thomas Berry: The Flourishing of the Earth Community,Yale University,4.7,https://www.coursera.org/learn/thomas-berry,beginner level,2200,thomas berry 1914 2009 was a historian of world religions and an early voice awakening moral sensibilities to the environmental crisis he is known for articulating a new story of the universe that explores the implications of the evolutionary sciences and cultural traditions for creating a flourishing future this course investigates berry s life and thought in relation to the journey of the universe project it draws on his books articles and recorded lectures to examine such ideas as the new story the great work and the emerging ecozoic era the course explores berry s insights into cosmology as a context for locating the human in a dynamic unfolding universe and thus participating in the creative work of our times in particular we will examine berry s reflections on renewal and reform in the areas of ecology economics education spirituality and the arts course rationale thomas berry was an original creative and comprehensive thinker especially regarding the critical nature of our global environmental crisis his intellectual importance resides in his response to the ecological crisis by bringing together the humanities and science in an evolutionary narrative in addition he articulated the need for the moral participation of the world religions in addressing environmental issues he came to this realization largely through his study of cosmologies embedded within religious traditions sensing the significance of these stories as functional cosmologies he explored the widespread influence that these stories transmitted through a tradition for example in rituals ethics and subsistence practices loved learning about thomas berry s amazing writing and the great work this course will give new insight grand thought concerning everything the all things exist in the universe to you i want you to have these things as i have i love thomas berry and they way he is able to tell us the story of the universe this is an amazing course an eye opener and a spiritual journey overall thank you,"['Environment and Resource Management', 'Systems Thinking', 'Environmental Science', 'Social Studies', 'Environment', 'Cultural Diversity', 'Storytelling', 'Liberal Arts', 'World History', 'Education and Training']",2.0,6.0,arts_and_humanities,english,1,7100.0
Transmedia Writing,Michigan State University,4.4,https://www.coursera.org/learn/transmedia-writing,beginner level,4400,do you have a desire to write a novel write a screenplay design a video game in this project centered course you will develop your own original intellectual property ip into a transmedia project containing written versions of your ip on various platforms you will begin your novel adapt the first chapters of your novel into the opening scenes of a film or tv show and create a game design concept of your ip learner review so much amazing information the teacher and content are wonderful learned so much this is a course is based in active learning so that most of the actual learning takes place within your own activities that is writing you will learn by doing i am a proponent of experiential learning also known as active learning my lectures are short and succinct designed in a step by step process essential to your success as a writer i will guide you i will show you how to get there hopefully i will inspire you but i won t show you how to write or what to write that is up to you you are the only one who can illustrate your creative thoughts by writing them i firmly believe that the only way to become a writer is to write write write you need to unleash your creativity and my plan is to help you to do exactly that learner review this is the most challenging writing course that i have done so far but it actually made me write the first two chapters of my novel and now i am now looking forward to finishing the novel and getting it published all of the assignments on this course are peer review at each stage of the process whether creating your novel your screenplay or your video game you will post your written work and review the works of your peers peer review is an extremely important element of this course giving feedback and getting feedback is essential to the development of your critical thinking and your growth as a writer it is as important as the writing itself this course is designed to tap into your creativity and help you to develop your skills in expressing that creativity through written words learner review it made me stay up to 4am a few times but its incredible you will learn a lot and it is a very fun class writing is a truly beautiful amazing satisfying thing imagine putting your own words on a page to tell a story which enters your readers minds and allows them to share the thoughts emotions and lives of your characters it is a very rewarding experience learner review this course really pushed me to my limits and it is an eye opener for me that there are goals that i can still achieve and accomplish through the world of writing soo much amazing information the teacher and content are wonderful learned so much very good way to develop three forms of writing with scripts novels and game development with the same theme it made me stay up to 4am a few times but its incredible you will learn a lot and it is a very fun class,"['Active Listening', 'Creative Thinking', 'Creativity', 'Video Game Development', 'Storytelling', 'Game Design', 'Storyboarding', 'Writing', 'Content Creation', 'Constructive Feedback', 'Peer Review', 'Writing and Editing']",2.0,6.0,arts_and_humanities,english,1,16911.0
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",4.8,https://www.coursera.org/learn/the-cycle,beginner level,4800,what makes a successful arts and cultural organization led by devos institute chairman michael m kaiser and president brett egan this course will introduce you to a management theory called the cycle which supports thriving arts and cultural organizations learning from our work with managers from over 80 countries around the world the devos institute developed the cycle as a simple but powerful tool to assist managers in their effort to respond to an increasingly complex environment and propel their institutions to excellence the cycle explains how great art and strong marketing can create a family of supporters who in turn help the organization produce the revenue required to support even more great art the next year the institute has seen the cycle work in performing and presenting organizations as well as museums arts schools and other nonprofit endeavors like service organizations historical societies public libraries university programs advocacy organizations botanical gardens and zoos by taking this course you will learn the importance of bold exciting and mission driven programming in an organization how long term artistic planning can help an organization produce this work how an organization can aggressively market that programming and the institution behind it to develop a family of supporters including ticket buyers board members donors trustees and volunteers how an organization can cultivate and steward this family to build a healthy base of earned and contributed income and how an organization can reinvest that income into increasingly ambitious programming year after year all course material is available upon enrollment for self paced learners new scheduled sessions begin each month for more information about the devos institute s work visit www devosinstitute umd edu this course has really changed the way i look at arts organization management i feel much more confident and eager to try the methodology taught in the cycle i was able to clearly understand what lacking in the art organization i am handling in my area right now kudos and thank you so much the cycle was an eye opener in many ways i always thought arts management required more artistic intuition than management knowledge but this framework gave me a whole new perspective,"['Event Management', 'Marketing', 'Growth Strategies', 'Customer Engagement', 'Governance', 'Stakeholder Engagement', 'Fundraising', 'Organizational Strategy', 'Business Management', 'Strategic Marketing']",1.0,5.5,arts_and_humanities,english,1,27838.0
Exploring Beethoven's Piano Sonatas Part 6,Curtis Institute of Music,5.0,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-6,intermediate level,5000,welcome to exploring beethoven s piano sonatas part 6 you re joining thousands of learners currently enrolled in the course i m excited to have you in the class and look forward to your contributions to the learning community to begin i recommend taking a few minutes to explore the course site review the material we ll cover each week and preview the assignments you ll need to complete to pass the course click discussions to see forums where you can discuss the course material with fellow students taking the class if you have questions about course content please post them in the forums to get help from others in the course community for technical problems with the coursera platform visit the learner help center good luck as you get started and i hope you enjoy the course no other words but an excellent delivery of the course thank you,"['Music Performance', 'Classical Music', 'Music Theory', 'Musical Composition', 'Music History']",2.0,6.0,arts_and_humanities,english,1,2580.0
Think Again II: How to Reason Deductively,Duke University,4.3,https://www.coursera.org/learn/deductive-reasoning,beginner level,4200,this course is part of introduction to logic and critical thinking specialization,"['Computational Logic', 'Scientific Methods', 'Logical Reasoning', 'Deductive Reasoning']",1.0,5.5,arts_and_humanities,english,1,47643.0
"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Berklee,4.9,https://www.coursera.org/learn/musicianship-harmony,intermediate level,4400,this course is part of developing your musicianship specialization,"['Music Performance', 'Music', 'Musical Composition', 'Music Theory']",1.0,5.5,arts_and_humanities,english,1,28650.0
